scan_id,L,H,K,Y,I,error,LB,dL
#01210,1.020000806529761,2.0,2.0,0.0,4.866780066592849e-05,2.4594804110598574e-06,0.0,2.0
#01210,1.09999795301389,2.0,2.0,0.0,5.434613460403986e-05,2.668824381199377e-06,0.0,2.0
#01210,1.180001270696315,2.0,2.0,0.0,5.3642175115703695e-05,2.828708030868191e-06,0.0,2.0
#01210,1.260002738658878,2.0,2.0,0.0,5.349549031883159e-05,2.9072843895132013e-06,0.0,2.0
#01210,1.34000154280569,2.0,2.0,0.0,5.5260014067299886e-05,2.7722737785899725e-06,0.0,2.0
#01210,1.420000047272785,2.0,2.0,0.0,6.888792932232151e-05,2.867517099144431e-06,0.0,2.0
#01210,1.49999919939828,2.0,2.0,0.0,8.685157431498358e-05,2.7685635369649267e-06,0.0,2.0
#01210,1.500000681584913,2.0,2.0,0.0,8.709026792460151e-05,6.4563164599786864e-06,0.0,2.0
#01210,1.539995923468088,2.0,2.0,0.0,9.970087190883585e-05,6.155062391974292e-06,0.0,2.0
#01210,1.57999885765185,2.0,2.0,0.0,0.0001104638539236,6.284724148069301e-06,0.0,2.0
#01210,1.620000221605751,2.0,2.0,0.0,0.0001519184502766,6.163556583230646e-06,0.0,2.0
#01210,1.659999636429544,2.0,2.0,0.0,0.0001829982951981,6.401174440991856e-06,0.0,2.0
#01210,1.700008635677861,2.0,2.0,0.0,0.0002320296047799,6.426057801629342e-06,0.0,2.0
#01210,1.740004155690969,2.0,2.0,0.0,0.0003092573701346,6.820625348927703e-06,0.0,2.0
#01210,1.779998326705982,2.0,2.0,0.0,0.0004161701118045,7.263829297346103e-06,0.0,2.0
#01210,1.819999977568288,2.0,2.0,0.0,0.000605925803299,7.980720996466282e-06,0.0,2.0
#01210,1.859998713353107,2.0,2.0,0.0,0.0010052766368487,9.177510676563132e-06,0.0,2.0
#01210,1.899995013503953,2.0,2.0,0.0,0.0019095171869349,1.1494779973205596e-05,0.0,2.0
#01210,2.09999933756741,2.0,2.0,0.0,0.0018402319126748,1.2723428240017744e-05,0.0,2.0
#01210,2.140001459264861,2.0,2.0,0.0,0.0008536387617165,1.019471728279093e-05,0.0,2.0
#01210,2.179998414703917,2.0,2.0,0.0,0.0004646995731694,8.02224443887512e-06,0.0,2.0
#01210,2.220000471636694,2.0,2.0,0.0,0.0002708832974,7.48124012279535e-06,0.0,2.0
#01210,2.259997983642001,2.0,2.0,0.0,0.0001821867792053,7.265361787878006e-06,0.0,2.0
#01210,2.300000556806501,2.0,2.0,0.0,0.0001339404480415,7.119027847139732e-06,0.0,2.0
#01210,2.339997800491569,2.0,2.0,0.0,0.0001001553828424,7.074807880634315e-06,0.0,2.0
#01210,2.380038584062312,2.0,2.0,0.0,7.850396700443967e-05,6.990211287660884e-06,0.0,2.0
#01210,2.420031329753055,2.0,2.0,0.0,6.660489497956034e-05,6.699662125599789e-06,0.0,2.0
#01210,2.460003845760134,2.0,2.0,0.0,5.743115854260308e-05,6.673589641960464e-06,0.0,2.0
#01210,2.499995668208483,2.0,2.0,0.0,4.545499267743459e-05,3.4967750048288523e-06,0.0,2.0
#01210,2.499998074858108,2.0,2.0,0.0,5.075210802657753e-05,6.722613289805162e-06,0.0,2.0
#01210,2.566660081448529,2.0,2.0,0.0,4.18378809410164e-05,3.388946214819361e-06,0.0,2.0
#01210,2.633335403073765,2.0,2.0,0.0,3.942616864891898e-05,3.452304427689054e-06,0.0,2.0
#01210,2.700003439075677,2.0,2.0,0.0,2.979758080574191e-05,3.513374035078372e-06,0.0,2.0
#01210,2.766677607963754,2.0,2.0,0.0,3.388355848411282e-05,3.866652641614138e-06,0.0,2.0
#01210,2.833331136423233,2.0,2.0,0.0,3.782249607001166e-05,3.927638927387657e-06,0.0,2.0
#01210,2.899997038158018,2.0,2.0,0.0,2.852391881780303e-05,4.030145900997141e-06,0.0,2.0
#01210,2.966675659565444,2.0,2.0,0.0,3.199316762282228e-05,4.152026004480008e-06,0.0,2.0
#01210,3.033332993162472,2.0,2.0,0.0,2.6282362923404728e-05,4.194160968865522e-06,0.0,2.0
#01210,3.100001607561083,2.0,2.0,0.0,2.9430371785247656e-05,4.2963224613627816e-06,0.0,2.0
#01210,3.166667895356065,2.0,2.0,0.0,3.173960022483829e-05,4.378337088558992e-06,0.0,2.0
#01210,3.233336504748462,2.0,2.0,0.0,3.325258002768935e-05,4.490008652380517e-06,0.0,2.0
#01210,3.300000399086316,2.0,2.0,0.0,3.338711717654478e-05,4.611116636537891e-06,0.0,2.0
#01210,3.366672071184977,2.0,2.0,0.0,3.243989925796936e-05,4.734790894240342e-06,0.0,2.0
#01210,3.433329356341265,2.0,2.0,0.0,3.658618174493264e-05,4.929171556981172e-06,0.0,2.0
#01210,3.499994924027339,2.0,2.0,0.0,4.718696827287653e-05,5.035838002740026e-06,0.0,2.0
#01210,3.500004703244953,2.0,2.0,0.0,5.545589777256302e-05,1.1200919840586622e-05,0.0,2.0
#01210,3.54000486756826,2.0,2.0,0.0,6.0350900685281576e-05,1.1323186607919677e-05,0.0,2.0
#01210,3.580000713742785,2.0,2.0,0.0,4.7869522062044906e-05,1.1534163292571742e-05,0.0,2.0
#01210,3.619998562059815,2.0,2.0,0.0,5.8455880959067104e-05,1.1740469770570416e-05,0.0,2.0
#01210,3.65999238060895,2.0,2.0,0.0,8.791825286096733e-05,1.1899862807252962e-05,0.0,2.0
#01210,3.699997596306335,2.0,2.0,0.0,9.021630603228292e-05,1.2086247206592506e-05,0.0,2.0
#01210,3.740003262406365,2.0,2.0,0.0,0.000117674687054,1.2374516693209154e-05,0.0,2.0
#01210,3.779995490770431,2.0,2.0,0.0,0.0001327100583235,1.2788393925724658e-05,0.0,2.0
#01210,3.819993978679416,2.0,2.0,0.0,0.0001990088655087,1.3371414306007708e-05,0.0,2.0
#01210,3.859999666424452,2.0,2.0,0.0,0.000304850378665,1.241697443102478e-05,0.0,2.0
#01210,3.900007723818982,2.0,2.0,0.0,0.00054723651109,1.4439438372784252e-05,0.0,2.0
#01211,0.6599994083317116,3.0,1.0,0.0,0.0002237561108398,4.681469852081522e-06,1.0,2.0
#01211,0.7000001628495283,3.0,1.0,0.0,0.0002973148587762,5.409864930655588e-06,1.0,2.0
#01211,0.7400002980489813,3.0,1.0,0.0,0.0004057973404292,5.953912709490201e-06,1.0,2.0
#01211,0.7800003563519505,3.0,1.0,0.0,0.000553736062406,6.667752438617239e-06,1.0,2.0
#01211,0.8200025021653999,3.0,1.0,0.0,0.0008215579269937,7.317783799620602e-06,1.0,2.0
#01211,0.8600012605232225,3.0,1.0,0.0,0.0013273330285682,8.353701441944674e-06,1.0,2.0
#01211,0.9000008771719676,3.0,1.0,0.0,0.0025070328111369,1.068295631557126e-05,1.0,2.0
#01211,1.099996001933467,3.0,1.0,0.0,0.0028328514427826,8.789614965781308e-06,1.0,2.0
#01211,1.120000984044232,3.0,1.0,0.0,0.0018507670085083,7.4981907947651874e-06,1.0,2.0
#01211,1.139998853712299,3.0,1.0,0.0,0.0013140500084313,6.776498189850507e-06,1.0,2.0
#01211,1.159997758296927,3.0,1.0,0.0,0.0009638381380154,6.286576443144609e-06,1.0,2.0
#01211,1.179998247500875,3.0,1.0,0.0,0.0007241080153724,5.869735879812162e-06,1.0,2.0
#01211,1.199998702954499,3.0,1.0,0.0,0.0005641040486901,5.651857649442208e-06,1.0,2.0
#01211,1.219997975738257,3.0,1.0,0.0,0.0004431027164487,5.471650472319311e-06,1.0,2.0
#01211,1.240002916719164,3.0,1.0,0.0,0.0003677957942371,5.382332920071531e-06,1.0,2.0
#01211,1.260001831521281,3.0,1.0,0.0,0.0002995708839324,5.293183723565011e-06,1.0,2.0
#01211,1.279999076296144,3.0,1.0,0.0,0.0002500037935265,5.249213307428215e-06,1.0,2.0
#01211,1.300002468736337,3.0,1.0,0.0,0.0002033868997348,5.2129808037903874e-06,1.0,2.0
#01211,1.319999526700376,3.0,1.0,0.0,0.0001780312135886,5.1929182026492216e-06,1.0,2.0
#01211,1.339998900066453,3.0,1.0,0.0,0.0001493016485778,5.186920149130126e-06,1.0,2.0
#01211,1.359997637641049,3.0,1.0,0.0,0.0001323168802367,5.201024198870708e-06,1.0,2.0
